question,respondent_id,response,academic_year
Did you enjoy the course?,1,Totally,2023-24
Did you enjoy the course?,2,Totally,2023-24
Did you enjoy the course?,3,Totally,2023-24
Did you enjoy the course?,4,Totally,2023-24
Did you enjoy the course?,5,Totally,2023-24
Did you enjoy the course?,6,Totally,2023-24
Did you enjoy the course?,7,Totally,2023-24
Did you enjoy the course?,8,Totally,2023-24
Did you enjoy the course?,9,Totally,2023-24
Did you enjoy the course?,10,Totally,2023-24
Did you enjoy the course?,11,Totally,2023-24
Did you enjoy the course?,12,Totally,2023-24
Did you enjoy the course?,13,Totally,2023-24
Did you enjoy the course?,14,Totally,2023-24
Did you enjoy the course?,15,Totally,2023-24
Did you enjoy the course?,16,Totally,2023-24
Did you enjoy the course?,17,4,2023-24
Did you enjoy the course?,18,4,2023-24
Did you enjoy the course?,19,4,2023-24
Did you enjoy the course?,20,4,2023-24
Did you enjoy the course?,21,4,2023-24
Did you enjoy the course?,22,4,2023-24
Did you enjoy the course?,23,3,2023-24
Did you enjoy the course?,24,3,2023-24
Did you enjoy the course?,25,3,2023-24
Did you enjoy the course?,26,3,2023-24
Did you enjoy the course?,27,3,2023-24
Did you enjoy the course?,28,3,2023-24
Did you enjoy the course?,29,3,2023-24
Did you enjoy the course?,30,3,2023-24
Did you enjoy the course?,31,3,2023-24
Did you enjoy the course?,32,3,2023-24
Did you enjoy the course?,33,3,2023-24
Did you enjoy the course?,34,3,2023-24
Did you enjoy the course?,35,3,2023-24
Did you enjoy the course?,36,2,2023-24
Did you enjoy the course?,37,2,2023-24
Did you enjoy the course?,38,2,2023-24
Did you enjoy the course?,39,2,2023-24
Did you enjoy the course?,40,2,2023-24
Did you enjoy the course?,41,2,2023-24
Did you enjoy the course?,42,2,2023-24
Did you enjoy the course?,43,2,2023-24
Did you enjoy the course?,44,2,2023-24
Did you enjoy the course?,45,2,2023-24
Did you enjoy the course?,46,2,2023-24
Did you enjoy the course?,47,2,2023-24
Did you enjoy the course?,48,2,2023-24
Did you enjoy the course?,49,Not at all,2023-24
Did you enjoy the course?,50,Not at all,2023-24
Did you enjoy the course?,51,Not at all,2023-24
Did you enjoy the course?,52,Not at all,2023-24
Did you enjoy the course?,53,Not at all,2023-24
Did you enjoy the course?,54,Not at all,2023-24
Did you enjoy the course?,55,Not at all,2023-24
Did you enjoy the course?,56,Not at all,2023-24
Did you enjoy the course?,57,Not at all,2023-24
Did you enjoy the course?,58,Not at all,2023-24
Did you enjoy the course?,59,Not at all,2023-24
My course has challenged me to achieve my best work.,1,Totally,2023-24
My course has challenged me to achieve my best work.,2,Totally,2023-24
My course has challenged me to achieve my best work.,3,Totally,2023-24
My course has challenged me to achieve my best work.,4,Totally,2023-24
My course has challenged me to achieve my best work.,5,Totally,2023-24
My course has challenged me to achieve my best work.,6,Totally,2023-24
My course has challenged me to achieve my best work.,7,Totally,2023-24
My course has challenged me to achieve my best work.,8,Totally,2023-24
My course has challenged me to achieve my best work.,9,Totally,2023-24
My course has challenged me to achieve my best work.,10,Totally,2023-24
My course has challenged me to achieve my best work.,11,Totally,2023-24
My course has challenged me to achieve my best work.,12,Totally,2023-24
My course has challenged me to achieve my best work.,13,Totally,2023-24
My course has challenged me to achieve my best work.,14,Totally,2023-24
My course has challenged me to achieve my best work.,15,Totally,2023-24
My course has challenged me to achieve my best work.,16,Totally,2023-24
My course has challenged me to achieve my best work.,17,Totally,2023-24
My course has challenged me to achieve my best work.,18,Totally,2023-24
My course has challenged me to achieve my best work.,19,Totally,2023-24
My course has challenged me to achieve my best work.,20,Totally,2023-24
My course has challenged me to achieve my best work.,21,Totally,2023-24
My course has challenged me to achieve my best work.,22,Totally,2023-24
My course has challenged me to achieve my best work.,23,Totally,2023-24
My course has challenged me to achieve my best work.,24,Totally,2023-24
My course has challenged me to achieve my best work.,25,Totally,2023-24
My course has challenged me to achieve my best work.,26,Totally,2023-24
My course has challenged me to achieve my best work.,27,4,2023-24
My course has challenged me to achieve my best work.,28,4,2023-24
My course has challenged me to achieve my best work.,29,4,2023-24
My course has challenged me to achieve my best work.,30,4,2023-24
My course has challenged me to achieve my best work.,31,4,2023-24
My course has challenged me to achieve my best work.,32,4,2023-24
My course has challenged me to achieve my best work.,33,4,2023-24
